"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5183","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","7","1","1","8.255613","0","34"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","9","1","8.065688","0","16"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","72","18","6","72.422234","8","287"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","102","19","3","102.485069","34","1417"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","21","5","1","23.582405","0","154"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","8","4","1","8.979284","0","23"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","8","2","1","8.548814","0","23"
"/Interchange/gltf/M_Opaque.M_Opaque","0","256","29","8","282.867615","0","2403"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","4","1","9.814527","0","34"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","7","3","1","7.570142","0","18"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","3","1","9.116669","0","28"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","12","4","1","11.336089","0","49"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","1","1","8.521943","0","34"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","15","7","1","12.752459","0","68"
"/Interchange/gltf/M_Translucent.M_Translucent","0","232","30","8","1977.676758","0","1743"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","32","3","1","40.714012","0","149"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","4","1","9.144874","0","34"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","18","3","1","25.716200","0","91"
"/Interchange/gltf/M_Sheen.M_Sheen","0","128","12","4","166.860931","0","1099"
"/Interchange/gltf/M_Transmission.M_Transmission","0","124","6","4","1120.055542","0","1155"
"/Interchange/gltf/M_Unlit.M_Unlit","0","38","9","2","38.798923","0","245"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","18","1","1","27.853222","0","141"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","44","4","1","69.559654","0","586"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","18","4","1","29.240746","0","111"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","18","1","1","28.456730","0","103"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","18","5","1","27.757690","0","146"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","28","4","1","215.034134","0","148"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","150","8","1","194.655258","0","2506"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","7","7","1","9.281872","0","12"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","7","3","1","9.684232","0","18"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","10.020802","0","9"
"/Game/RTS_Unknown/Materials/M_UnitColors.M_UnitColors","0","32","5","1","38.279140","0","330"
"/Game/RTS_Unknown/Materials/M_BuildingColors.M_BuildingColors","0","32","1","1","38.962517","0","326"
"/Game/RTS_Unknown/Materials/M_HighlightDecal.M_HighlightDecal","0","30","4","1","33.286930","0","205"
"/Game/RTS_Unknown/Materials/M_SelectionDecal.M_SelectionDecal","0","30","2","1","33.394520","0","219"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","44","6","1","58.200825","0","270"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","18","2","1","20.378529","0","86"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","19","2","1","26.650200","0","111"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","96","1","1","189.645905","0","1773"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","44","3","1","60.720188","0","382"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","18","5","1","17.684242","0","95"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","23","3","1","21.816542","0","200"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","64","4","1","114.861710","0","654"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","56","9","2","61.913895","0","339"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","64","9","1","83.401070","0","533"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","44","5","1","58.550968","0","253"
"/Game/LevelPrototyping/Cursor/M_Cursor.M_Cursor","0","61","8","1","66.291611","0","746"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","9","4","1","8.773593","0","31"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","7","4","1","9.169257","0","19"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","30","5","1","41.119804","0","156"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","18","6","1","24.410309","0","59"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","150","3","1","196.602417","0","2457"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","9","9","1","9.326702","0","14"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","32","1","1","37.257580","0","217"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","44","5","1","64.799850","0","269"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","36","9","1","49.128048","0","148"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","2","1","10.249240","0","27"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","12","5","1","11.303462","0","34"
